item_id,item,group,controls,minimum_specification,exact_measurements,datum,tool,measurement_tolerance,photos,update_targets,status,measured_values
HF-001,Production 18 mm plywood sheets,BUY NOW,all captured joint widths and sheet-derived offsets,Production structural plywood main batch; door stock if different,Thickness at 9 distributed points per sheet; min/max; sheet dimensions; bow; face/core defects; grain direction; batch ID,Mark face A and front-left corner; thickness normal to face without crushing veneers,Micrometer or broad-jaw caliper; straightedge/feeler gauges,Thickness recording ±0.05 mm; retain observed min/max; do not average away sheet variation.,Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,all active stock fields; config/cnc_detail_v25.json:stock,UNMEASURED,
HF-002,CNC cutter/tooling and tolerance coupon,BUY LATER,dogbones/internal radii/pocket clearances/engraving,CNC shop consultation and physical coupon before release; not a hardware purchase,Actual cutter diameter; runout; pocket depth accuracy; accepted groove clearance; relief radius; two-face registration accuracy,Coupon face A and engraved zero corner,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cnc_detail_v25.json:fit; tools/generate_cnc_coupon_v20.py,UNMEASURED,
HF-003,Classic pinball leg set,BUY NOW,external leg bolt pattern and corner stack,Four classic pinball legs with matching levelers and bolts; no integrated wheels,Both bolt center coordinates; hole/slot widths; corner included angle; flange width; leg mounting face flatness; bolt head seat; leveler travel; record all four legs,A=inside leg mounting faces seated on 90-degree test corner; B=leg upper edge; C=corner bisector,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cabinet_service_v21.json:leg_corners; pending measured_patterns.HF-003,UNMEASURED,
HF-004,Compact internal leg brackets/backing,BUY NOW,leg through-hole pattern and local backing geometry,Four compact internal brackets; fit 95 x 95 x 150 mm planning corner volume including fasteners subject to measured review,Flange thickness; inner X at rear left/right when seated; full Y/Z extent; all hole centers/diameters; bolt/nut/washer stack; wrench access; backing contact area,A=inside cabinet wall plane; B=inside rear/front plane; C=bottom panel top; use measured-thickness corner fixture,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cabinet_service_v21.json:leg_corners; config/cnc_detail_v25.json:leg_envelope,UNMEASURED,
HF-005,External removable PinSkates-style pair,BUY LATER,none on permanent cabinet,External removable skates compatible with selected legs,Leg engagement and stability before mobility use,Actual installed legs,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,No wood holes,UNMEASURED,
HF-006,WPC 01-9011-L/R hinge pair + 02-4352 + pivot bolts,BUY NOW,backbox floor/side hinge holes and pivot interfaces,Matched WPC-style hinge pair with matching bushings and pivot bolts; family label alone insufficient,Hole and slot centers; hole diameters; leaf outline/thickness; bend offsets; pivot center to both mounting faces; bushing OD/ID/flange/length; bolt shoulder and thread; full folded/upright sweep; left/right differences,A=each hinge mounting face; B=rear edge; C=bottom edge; pivot center separately recorded,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/structure_geometry_v14.json:wpc_hinges; measured_patterns.HF-006,UNMEASURED,
HF-007,Upright backbox lock bolts/captive threads,BUY NOW,rear shelf/backbox-floor locking holes,Two positive upright locking bolts with captive receiving hardware,Thread; grip length; head/tool envelope; captive plate hole pattern; engagement; shelf/floor/gasket stack; X and Y after hinge fixture,A=rear shelf top; B=cabinet centerline; C=rear exterior plane; upright on fixture,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/structure_geometry_v14.json:upright_locking; measured_patterns.HF-007,UNMEASURED,
HF-008,UCFL202 15 mm flange bearing pair,BUY NOW,cabinet-side bearing bolt holes and stack,Two UCFL202 housings with actual 15 mm bore; matched journal interface,Bore at each bearing; flange hole/slot centers and widths; casting outline; mounting-face to bore axis; housing thickness; axial protrusions; set-screw access; misalignment range documented by maker,A=flat mounting face; B=bore axis; C=line joining flange bolts; record both housings,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,Bore/journal measurements ±0.02 mm with suitable gauges; hole centers ±0.10 mm; final fit from bearing/journal specification.,Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/playfield_mechanics_v18.json:pivot_interface; measured_patterns.HF-008,UNMEASURED,
HF-009,15 mm pivot journals / cheek plates,LOCAL FAB,pivot interface,Two positively retained 15 mm journals and cheek plates; fit actual bearings,Journal fit/finish; engagement; shoulder; axial retention; plate-to-rail stack; bolt edge distances; shop drawing revision,Bearing axis and plate seating face; journal shoulder zero,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,Bore/journal measurements ±0.02 mm with suitable gauges; hole centers ±0.10 mm; final fit from bearing/journal specification.,Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/playfield_mechanics_v18.json:pivot_interface; separate metal DXF/PDF after HF-008,UNMEASURED,
HF-010,Two captive steel prop rods with clevises/pins/keepers/stow clips,BUY NOW,fixed prop anchors; moving receivers; stow clip mounting patterns,Two straight captive steel props with lower pivot and upper captive pin/keeper; each assessed for full moving assembly load,Rod pin-to-pin length; section and end-eye geometry; lower clevis and upper receiver outlines/offsets/patterns; pin diameter and positive keeper engagement; stow-clip retention/pattern; complete swing; one-prop load capacity,A=each anchor mounting face; B=pivot pin center; C=stay center plane; both handed units,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/playfield_mechanics_v18.json:safety_stays; config/playfield_fixed_anchors_v19.json:safety_stay_fixed_anchor,UNMEASURED,
