part_id,feature_id,feature_type,face,datum,x,y,diameter_or_width,depth,through,hardware_dependency,status,recipe,notes
CAB-SIDE-001L-R1,CF-0003,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-003,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001L-R1,CF-0004,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-004,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001L-R1,CF-0005,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-006,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001L-R1,CF-0006,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-008,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001L-R1,CF-0007,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-010,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001L-R1,CF-0008,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-020,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001L-R1,CF-0009,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-021,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001R-R1,CF-0012,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-003,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001R-R1,CF-0013,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-004,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001R-R1,CF-0014,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-006,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001R-R1,CF-0015,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-008,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001R-R1,CF-0016,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-010,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
