part_id,system,description,qty,material,nominal_thickness_mm,label_text,status,notes
CAB-SIDE-001L-R1,CAB,Main cabinet left side,1,compensado naval,18,CAB-SIDE-001L-R1 INSIDE FRONT ->,DESIGN_BASELINE,600 mm platform; WPC-inspired side profile
CAB-SIDE-001R-R1,CAB,Main cabinet right side,1,compensado naval,18,CAB-SIDE-001R-R1 INSIDE FRONT ->,DESIGN_BASELINE,Mirror/handed counterpart; 600 mm body
CAB-FRONT-001-R1,CAB,Main cabinet front panel,1,compensado naval,18,CAB-FRONT-001-R1 INSIDE UP ->,DESIGN,Final coin-door/front control openings pending
CAB-REAR-001-R1,CAB,Main cabinet rear panel,1,compensado naval,18,CAB-REAR-001-R1 INSIDE UP ->,DESIGN,Rear power/service bay cutouts pending final geometry
CAB-BOTTOM-001-R1,CAB,Main cabinet bottom panel,1,compensado naval,18,CAB-BOTTOM-001-R1 INSIDE FRONT ->,DESIGN,Captured in side/front/rear joinery
CAB-XMEM-010-R1,CAB,Front low structural crossmember,1,compensado naval,18,CAB-XMEM-010-R1 FRONT,DESIGN,Location must preserve SSF zones
CAB-XMEM-011-R1,CAB,Mid low structural crossmember,1,compensado naval,18,CAB-XMEM-011-R1 FRONT,DESIGN,Supports PC/toy load paths without rigidly bridging SSF zones unnecessarily
CAB-XMEM-012-R1,CAB,Rear low structural crossmember,1,compensado naval,18,CAB-XMEM-012-R1 FRONT,DESIGN,Ties rear structure / drawer support
CAB-REAR-SHELF-001-R1,CAB,Main rear backbox support shelf,1,compensado naval,18,CAB-REAR-SHELF-001-R1 REAR ->,CRITICAL_DATUM,Backbox floor rests on this shelf; matched lock/passport holes
CAB-REAR-SHELF-DBLR-001-R1,CAB,Rear shelf reinforcement doubler,1,compensado naval,18,CAB-REAR-SHELF-DBLR-001-R1 REAR ->,DESIGN,Provides local ~36 mm structural zone around backbox load interface
CAB-LEG-DBLR-001FL-R1,CAB,Front-left leg corner doubler,1,compensado naval,18,CAB-LEG-DBLR-001FL-R1,DESIGN,Exact bracket hole pattern after hardware selection
CAB-LEG-DBLR-002FR-R1,CAB,Front-right leg corner doubler,1,compensado naval,18,CAB-LEG-DBLR-002FR-R1,DESIGN,Exact bracket hole pattern after hardware selection
CAB-LEG-DBLR-003RL-R1,CAB,Rear-left leg corner doubler,1,compensado naval,18,CAB-LEG-DBLR-003RL-R1,DESIGN,Exact bracket hole pattern after hardware selection
CAB-LEG-DBLR-004RR-R1,CAB,Rear-right leg corner doubler,1,compensado naval,18,CAB-LEG-DBLR-004RR-R1,DESIGN,Exact bracket hole pattern after hardware selection
BB-SIDE-001L-R1,BB,Backbox left side,1,compensado naval,18,BB-SIDE-001L-R1 INSIDE FRONT ->,DESIGN_BASELINE,780 mm backbox outer width system
BB-SIDE-001R-R1,BB,Backbox right side,1,compensado naval,18,BB-SIDE-001R-R1 INSIDE FRONT ->,DESIGN_BASELINE,Mirror/handed counterpart
BB-TOP-001-R1,BB,Backbox top panel,1,compensado naval,18,BB-TOP-001-R1 INSIDE FRONT ->,DESIGN,Joins fixed perimeter frame
BB-FLOOR-001-R1,BB,Backbox floor,1,compensado naval,18,BB-FLOOR-001-R1 REAR -> CENTERLINE,CRITICAL_DATUM,Matched to main rear shelf; hinge rows/lock/passports from common datums
BB-XMEM-001-R1,BB,Backbox lower structural crossmember,1,compensado naval,18,BB-XMEM-001-R1 LOWER,DESIGN,Supports monitor rail cage and rear service-door frame
BB-XMEM-002-R1,BB,Backbox upper structural crossmember,1,compensado naval,18,BB-XMEM-002-R1 UPPER,DESIGN,Supports monitor rail cage; preserves fan openings
BB-REAR-FRAME-L-R1,BB,Backbox rear service-frame left stile,1,compensado naval,18,BB-REAR-FRAME-L-R1,DESIGN,Fixed structural perimeter around keyed rear door
BB-REAR-FRAME-R-R1,BB,Backbox rear service-frame right stile,1,compensado naval,18,BB-REAR-FRAME-R-R1,DESIGN,Fixed structural perimeter around keyed rear door
BB-REAR-FRAME-T-R1,BB,Backbox rear service-frame top rail,1,compensado naval,18,BB-REAR-FRAME-T-R1,DESIGN,Fixed fan/vent region may integrate with this rail
BB-REAR-FRAME-B-R1,BB,Backbox rear service-frame bottom rail,1,compensado naval,18,BB-REAR-FRAME-B-R1,DESIGN,Door aperture remains non-primary load path
BB-DOOR-001-R1,BB,Keyed rear service door,1,compensado naval,15,BB-DOOR-001-R1 INSIDE UP ->,DESIGN,Approx 520x460 baseline; gasketed keyed door
BB-BEZEL-001-R1,BB,Replaceable backglass bezel/filler frame,1,plywood-or-panel,TBD,BB-BEZEL-001-R1,ADAPTER,Display-specific but replaceable; 32-class primary
BB-DMD-BEZEL-001-R1,BB,Replaceable DMD/FullDMD bezel,1,plywood-or-panel,TBD,BB-DMD-BEZEL-001-R1,ADAPTER,Independent from speaker baffle
BB-SPK-BAFFLE-001-R1,BB,Removable speaker baffle,1,compensado-or-panel,TBD,BB-SPK-BAFFLE-001-R1,DESIGN,Mechanically independent from display mounts
PF-CRADLE-001L-R1,PF,Playfield cradle left structural rail,1,compensado naval,18,PF-CRADLE-001L-R1 INSIDE FRONT ->,DESIGN_BASELINE,CNC plywood cradle below display; local metal only at concentrated load interfaces
PF-CRADLE-001R-R1,PF,Playfield cradle right structural rail,1,compensado naval,18,PF-CRADLE-001R-R1 INSIDE FRONT ->,DESIGN_BASELINE,Mirror counterpart
PF-XMEM-010-R1,PF,Front under-display cradle crossmember,1,compensado naval,18,PF-XMEM-010-R1 FRONT ->,DESIGN_BASELINE,v0.18 under-display structural tie
PF-XMEM-011-R1,PF,Mid under-display cradle crossmember,1,compensado naval,18,PF-XMEM-011-R1 FRONT ->,DESIGN_BASELINE,v0.18 under-display structural tie
PF-XMEM-012-R1,PF,Rear under-display cradle crossmember,1,compensado naval,18,PF-XMEM-012-R1 FRONT ->,DESIGN_BASELINE,v0.18 under-display structural tie before pivot zone
PF-XMEM-REAR-001A-R1,PF,Rear playfield cradle beam lamination A,1,compensado naval,18,PF-XMEM-REAR-001A-R1 REAR ->,DESIGN_BASELINE,Laminated with B piece to make 36 mm rear pivot beam
PF-XMEM-REAR-001B-R1,PF,Rear playfield cradle beam lamination B,1,compensado naval,18,PF-XMEM-REAR-001B-R1 REAR ->,DESIGN_BASELINE,Laminated with A piece
PF-PIVOT-DBLR-001L-R1,PF,Left local cradle pivot doubler/block,1,compensado naval,36,PF-PIVOT-DBLR-001L-R1 REAR ->,DESIGN_BASELINE,18+18 local plywood thickness carrying cheek-plate clamp load
