joint_id,part_a,part_b,object_a,object_b,joint_type,stock_dependency,depth,glue,fastener_requirement,cnc_prelocation,hardware_dependency,baseline_overlap_mm3,notes
J-001,CAB-SIDE-001L-R1,CAB-FRONT-001-R1,CabinetLeftSide,CapturedFrontPanelV20,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,43205.400,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-002,CAB-SIDE-001L-R1,CAB-REAR-001-R3,CabinetLeftSide,RearPanelWithCPUHatchV24,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,64465.200,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-003,CAB-SIDE-001L-R1,CAB-BOTTOM-001-R1,CabinetLeftSide,CapturedBottomV20,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,138682.800,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-004,CAB-SIDE-001L-R1,CAB-XMEM-010-R1,CabinetLeftSide,LowCrossmember1V20,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,8640.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-005,CAB-SIDE-001L-R1,CAB-XMEM-011-R1,CabinetLeftSide,LowCrossmember2V20,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,8640.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-006,CAB-SIDE-001L-R1,CAB-XMEM-012-R1,CabinetLeftSide,LowCrossmember3V20,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,8640.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-007,CAB-SIDE-001L-R1,CAB-REAR-SHELF-001-R1,CabinetLeftSide,RearShelfV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,0.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-008,CAB-SIDE-001L-R1,BB-FLOOR-001-R1,CabinetLeftSide,BackboxFloorV14,INCIDENTAL_CONTACT,t=measured main sheet; t_door=measured door sheet,none,none,none,not applicable,none,0.000,"Clearance/interface contact; backbox retention uses hinge and locks, not glue to shell"
J-009,CAB-SIDE-001L-R1,BB-REAR-FRAME-L-R1,CabinetLeftSide,BackboxRearFrameLeftV14,INCIDENTAL_CONTACT,t=measured main sheet; t_door=measured door sheet,none,none,none,not applicable,none,0.000,"Clearance/interface contact; backbox retention uses hinge and locks, not glue to shell"
J-010,CAB-SIDE-001L-R1,PF-LANDING-LATCH-LEFT-R2,CabinetLeftSide,ClosedSupportDoublerLeftV19,FACE_LAMINATION,t=measured main sheet; t_door=measured door sheet,0,YES,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-012,0.000,Clamp full face; CNC alignment outline; through-bolts/backing carry concentrated loads
