part_id,object_name,current_function,load_path,decision,reason,material,nominal_thickness_mm,quantity,orientation,nominal_local_envelope_xyz_mm,finished_dimensions,pockets_dados_through_cuts,pilot_holes,insert_tnut_positions,engraving_alignment,assembly_reference,release_status
CAB-SIDE-001L-R1,CabinetLeftSide,Primary shell and leg/pivot load path,Captured shell -> compact steel leg brackets -> legs/levelers,KEEP,Primary shell and leg/pivot load path,marine plywood,18,1,YZ; inside face; front arrow,18.000 x 1308.100 x 596.900,BLOCKED: stock/joints/hardware unresolved,side profile; captured dados; measured leg/bearing/button holes,BLOCKED: measured hardware,BLOCKED: measured hardware,CAB-SIDE-001L-R1; YZ; inside face; front arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
CAB-SIDE-001R-R1,CabinetRightSide,Primary shell and leg/pivot load path,Captured shell -> compact steel leg brackets -> legs/levelers,KEEP,Primary shell and leg/pivot load path,marine plywood,18,1,YZ; inside face; front arrow,18.000 x 1308.100 x 596.900,BLOCKED: stock/joints/hardware unresolved,side profile; captured dados; measured leg/bearing/button holes,BLOCKED: measured hardware,BLOCKED: measured hardware,CAB-SIDE-001R-R1; YZ; inside face; front arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
CAB-FRONT-001-R1,CapturedFrontPanelV20,Captured end panels preserve shell stiffness,End-panel shear -> captured side/bottom joints -> shell/legs; preserve hatch ligaments,KEEP,Captured end panels preserve shell stiffness,marine plywood,18,1,XZ; inside face; up arrow,576.000 x 18.000 x 400.050,BLOCKED: stock/joints/hardware unresolved,captured edges; measured coin door or CPU aperture; rear only: generic utility apertures 70x50 and 24x24; component patterns/CNC release BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,CAB-FRONT-001-R1; XZ; inside face; up arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
CAB-REAR-001-R3,RearPanelWithCPUHatchV24,Captured end panels preserve shell stiffness,End-panel shear -> captured side/bottom joints -> shell/legs; preserve hatch ligaments,KEEP,Captured end panels preserve shell stiffness,marine plywood,18,1,XZ; inside face; up arrow,576.000 x 18.000 x 596.900,BLOCKED: stock/joints/hardware unresolved,captured edges; measured coin door or CPU aperture; rear only: generic utility apertures 70x50 and 24x24; component patterns/CNC release BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,CAB-REAR-001-R3; XZ; inside face; up arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
CAB-BOTTOM-001-R1,CapturedBottomV20,Bottom shear panel and local equipment supports,PC rail bearing + clamp/backing -> bottom -> captured edges/low ties -> shell/legs,KEEP,Bottom shear panel and local equipment supports,marine plywood,18,1,XY; inside up; front arrow,576.000 x 1284.100 x 18.000,BLOCKED: stock/joints/hardware unresolved,four-edge capture; measured support mounts; vents TBD,BLOCKED: measured hardware,BLOCKED: measured hardware,CAB-BOTTOM-001-R1; XY; inside up; front arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
CAB-XMEM-010-R1,LowCrossmember1V20,Low shell ties; retain until stiffness/load tests support deletion,Shell shear/torsion and bottom restraint -> captured side joints -> shell/legs,KEEP,Low shell ties; retain until stiffness/load tests support deletion,marine plywood,18,1,XZ; front arrow,576.000 x 18.000 x 80.000,BLOCKED: stock/joints/hardware unresolved,side capture; support connections TBD,BLOCKED: measured hardware,BLOCKED: measured hardware,CAB-XMEM-010-R1; XZ; front arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
CAB-XMEM-011-R1,LowCrossmember2V20,Low shell ties; retain until stiffness/load tests support deletion,Shell shear/torsion and bottom restraint -> captured side joints -> shell/legs,KEEP,Low shell ties; retain until stiffness/load tests support deletion,marine plywood,18,1,XZ; front arrow,576.000 x 18.000 x 80.000,BLOCKED: stock/joints/hardware unresolved,side capture; support connections TBD,BLOCKED: measured hardware,BLOCKED: measured hardware,CAB-XMEM-011-R1; XZ; front arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
CAB-XMEM-012-R1,LowCrossmember3V20,Low shell ties; retain until stiffness/load tests support deletion,Shell shear/torsion and bottom restraint -> captured side joints -> shell/legs,KEEP,Low shell ties; retain until stiffness/load tests support deletion,marine plywood,18,1,XZ; front arrow,576.000 x 18.000 x 80.000,BLOCKED: stock/joints/hardware unresolved,side capture; support connections TBD,BLOCKED: measured hardware,BLOCKED: measured hardware,CAB-XMEM-012-R1; XZ; front arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
CAB-REAR-SHELF-001-R1,RearShelfV14,Backbox load support and upright lock interface,Backbox floor/locks -> rear shelf -> side/rear shell -> legs,KEEP,Backbox load support and upright lock interface,marine plywood,18,1,XY; top; rear arrow,564.000 x 180.975 x 18.000,BLOCKED: stock/joints/hardware unresolved,matched floor/lock/passport patterns BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,CAB-REAR-SHELF-001-R1; XY; top; rear arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
BB-FLOOR-001-R1,BackboxFloorV14,Backbox perimeter load path,Display rail cage/box shear -> perimeter/floor -> rear shelf and independent upright locks,KEEP,Backbox perimeter load path,marine plywood,18,1,XY; inside face,780.000 x 254.000 x 18.000,BLOCKED: stock/joints/hardware unresolved,joint topology pending; measured hinges/locks/passports,BLOCKED: measured hardware,BLOCKED: measured hardware,BB-FLOOR-001-R1; XY; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
